REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSSLVXX01,2032,52694.444444444445
GLOBAL,LDSSLVXX01,2033,52694.444444444445
GLOBAL,LDSSLVXX01,2034,52694.444444444445
GLOBAL,LDSSLVXX01,2035,52694.444444444445
GLOBAL,LDSSLVXX01,2036,52694.444444444445
GLOBAL,LDSSLVXX01,2037,52694.444444444445
GLOBAL,LDSSLVXX01,2038,52694.444444444445
GLOBAL,LDSSLVXX01,2039,52694.444444444445
GLOBAL,LDSSLVXX01,2040,52694.444444444445
GLOBAL,LDSSLVXX01,2041,52694.444444444445
GLOBAL,LDSSLVXX01,2042,52694.444444444445
GLOBAL,LDSSLVXX01,2043,52694.444444444445
GLOBAL,LDSSLVXX01,2044,52694.444444444445
GLOBAL,LDSSLVXX01,2045,52694.444444444445
